Provincia,Departamento,Cant_EE,Cant_BP,Poblacion
Salta,Metan,58,2,48028
Chaco,San Lorenzo,58,1,16045
San Luis,Libertador Grl San Martin,58,1,4691
Santiago del Estero,San Martin,58,,11183
Buenos Aires,Guamini,57,5,11662
Buenos Aires,Coronel Dorrego,57,3,15795
San Juan,Valle Fertil,57,2,8425
Buenos Aires,Roque Perez,57,1,13901
Catamarca,El Alto,57,1,4375
Río Negro,San Antonio,56,4,35473
Buenos Aires,Carlos Tejedor,56,2,14007
Buenos Aires,Dolores,56,1,31405
Buenos Aires,General Alvear,56,1,10150
Buenos Aires,Daireaux,56,,18328
Buenos Aires,Rivadavia,55,1,19735
Corrientes,San Roque,54,2,22682
Tucumán,Tafi Del Valle,54,2,22382
Buenos Aires,Carmen De Areco,54,1,17345
Corrientes,San Cosme,54,1,19679
La Rioja,Chamical,54,1,15630
Salta,Rosario De Lerma,54,1,50961
Salta,Santa Victoria,54,1,9411
Buenos Aires,Tornquist,53,4,14591
Jujuy,Palpala,53,4,65522
Neuquén,Lacar,53,4,39567
Salta,General Guemes,53,3,55746
Santa Fe,Garay,53,2,24853
Buenos Aires,Colon,53,1,27406
Buenos Aires,General Paz,53,,14141
Corrientes,San Martin,53,,15164
Jujuy,Cochinoca,52,3,14998
Buenos Aires,Monte,52,2,24616
Tucumán,Famailla,52,2,42669
Buenos Aires,General Viamonte,50,2,22530
Salta,Rosario De La Frontera,50,2,33750
La Rioja,General San Martin,50,,5017
San Luis,Chacabuco,49,6,26522
Buenos Aires,Benito Juarez,49,1,21185
Buenos Aires,Tapalque,49,1,10695
San Luis,Coronel Pringles,48,4,16044
Buenos Aires,Leandro N. Alem,48,3,17153
Catamarca,Poman,48,3,12219
Buenos Aires,Adolfo Gonzales Chaves,48,2,12847
Catamarca,Santa Rosa,47,3,13317
San Juan,Calingasta,47,2,10667
San Luis,Belgrano,47,2,5575
Chaco,Fray Justo Santa Maria De Oro,47,1,10643
La Rioja,General Ocampo,47,,7347
La Pampa,Realico,46,8,17356
Buenos Aires,Villa Gesell,45,2,37325
Entre Ríos,San Salvador,45,2,20786
La Rioja,General Belgrano,45,2,7615
Buenos Aires,General Belgrano,45,,20674
Córdoba,Minas,45,,4855
Catamarca,Valle Viejo,44,4,33951
Buenos Aires,General Arenales,44,2,16231
Buenos Aires,General La Madrid,44,1,11535
Buenos Aires,General Las Heras,44,1,17980
Neuquén,Huiliches,44,1,20853
Catamarca,Ancasti,44,,3282
San Juan,Albardon,43,1,31281
Chaco,Libertad,43,,13775
Córdoba,Pocho,43,,5070
La Pampa,Utracan,42,5,17686
Buenos Aires,Pinamar,42,2,39224
Corrientes,Sauce,42,1,10382
La Rioja,Coronel Felipe Varela,42,1,11371
Santiago del Estero,Atamisqui,42,1,14894
Tucumán,Juan B Alberdi,42,1,34745
Chaco,1§ De Mayo,42,,14265
La Rioja,General Juan F Quiroga,42,,4013
Santiago del Estero,Guasayan,42,,9251
Buenos Aires,Laprida,41,1,11496
Buenos Aires,Suipacha,41,1,11736
San Juan,Angaco,41,,10172
La Rioja,Famatina,40,1,6984
Tucumán,La Cocha,40,1,21196
La Pampa,Rancul,39,6,11090
Buenos Aires,General Pinto,39,4,12842
San Juan,San Martin,39,3,15037
Neuquén,Pehuenches,39,2,29721
Corrientes,San Miguel,39,,12700
Neuquén,Minas,38,3,9267
Buenos Aires,Alberti,38,2,12906
San Juan,Iglesia,38,2,8826
Chaco,Presidencia De La Plaza,38,1,13938
La Rioja,Arauco,38,1,16251
Neuquén,Chos Malal,37,4,18289
Neuquén,Alumine,37,3,10173
